name,TSID,throw_in_leg,turn_in_leg,dart_in_turn,ind,pbt,points_before_turn,points,segment_hit,triple,wonprevious,is_throw2,is_throw3
Michael Smith,276,3,1,3,t3pt,421,501,20,20,0,1,0,1
Michael Smith,276,4,2,1,t1pt,401,401,15,T5,0,1,0,0
Michael Smith,276,5,2,2,t2pt,386,401,60,T20,1,1,1,0
Michael Smith,276,6,2,3,t3pt,326,401,20,20,0,1,0,1
Michael Smith,276,7,3,1,t1pt,306,306,19,19,0,1,0,0
Michael Smith,276,8,3,2,t2pt,287,306,20,20,0,1,1,0
Michael Smith,276,9,3,3,t3pt,267,306,51,T17,1,1,0,1
Michael Smith,276,10,4,1,t1pt,216,216,20,20,0,1,0,0
Michael Smith,276,11,4,2,t2pt,196,216,20,20,0,1,1,0
Michael Smith,277,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,277,2,1,2,t2pt,481,501,20,20,0,1,1,0
Michael Smith,277,3,1,3,t3pt,461,501,60,T20,1,1,0,1
Michael Smith,277,4,2,1,t1pt,401,401,20,20,0,1,0,0
Michael Smith,277,5,2,2,t2pt,381,401,60,T20,1,1,1,0
Michael Smith,277,6,2,3,t3pt,321,401,60,T20,1,1,0,1
Michael Smith,277,7,3,1,t1pt,261,261,5,5,0,1,0,0
Michael Smith,277,8,3,2,t2pt,256,261,20,20,0,1,1,0
Michael Smith,277,9,3,3,t3pt,236,261,60,T20,1,1,0,1
Michael Smith,278,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,278,2,1,2,t2pt,481,501,20,20,0,1,1,0
Michael Smith,278,3,1,3,t3pt,461,501,20,20,0,1,0,1
Michael Smith,278,4,2,1,t1pt,441,441,60,T20,1,1,0,0
Michael Smith,278,5,2,2,t2pt,381,441,20,20,0,1,1,0
Michael Smith,278,6,2,3,t3pt,361,441,60,T20,1,1,0,1
Michael Smith,278,7,3,1,t1pt,301,301,20,20,0,1,0,0
Michael Smith,278,8,3,2,t2pt,281,301,19,19,0,1,1,0
Michael Smith,278,9,3,3,t3pt,262,301,54,T18,1,1,0,1
Michael Smith,278,10,4,1,t1pt,208,208,60,T20,1,1,0,0
Michael Smith,279,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,279,2,1,2,t2pt,481,501,20,20,0,0,1,0
Michael Smith,279,3,1,3,t3pt,461,501,20,20,0,0,0,1
Michael Smith,279,4,2,1,t1pt,441,441,20,20,0,0,0,0
Michael Smith,279,5,2,2,t2pt,421,441,20,20,0,0,1,0
Michael Smith,279,6,2,3,t3pt,401,441,20,20,0,0,0,1
Michael Smith,279,7,3,1,t1pt,381,381,20,20,0,0,0,0
Michael Smith,279,8,3,2,t2pt,361,381,57,T19,1,0,1,0
Michael Smith,279,9,3,3,t3pt,304,381,3,3,0,0,0,1
Michael Smith,279,10,4,1,t1pt,301,301,60,T20,1,0,0,0
Michael Smith,279,11,4,2,t2pt,241,301,60,T20,1,0,1,0
Michael Smith,279,12,4,3,t3pt,181,301,20,20,0,0,0,1
Michael Smith,280,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,280,2,1,2,t2pt,481,501,5,5,0,0,1,0
Michael Smith,280,3,1,3,t3pt,476,501,20,20,0,0,0,1
Michael Smith,280,4,2,1,t1pt,456,456,20,20,0,0,0,0
Michael Smith,280,5,2,2,t2pt,436,456,60,T20,1,0,1,0
Michael Smith,280,6,2,3,t3pt,376,456,60,T20,1,0,0,1
Michael Smith,280,7,3,1,t1pt,316,316,60,T20,1,0,0,0
Michael Smith,280,8,3,2,t2pt,256,316,20,20,0,0,1,0
Michael Smith,280,9,3,3,t3pt,236,316,60,T20,1,0,0,1
Michael Smith,281,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,281,2,1,2,t2pt,481,501,20,20,0,1,1,0
Michael Smith,281,3,1,3,t3pt,461,501,20,20,0,1,0,1
Michael Smith,281,4,2,1,t1pt,441,441,20,20,0,1,0,0
Michael Smith,281,5,2,2,t2pt,421,441,19,19,0,1,1,0
Michael Smith,281,6,2,3,t3pt,402,441,54,T18,1,1,0,1
Michael Smith,281,7,3,1,t1pt,348,348,60,T20,1,1,0,0
Michael Smith,281,8,3,2,t2pt,288,348,60,T20,1,1,1,0
Michael Smith,281,9,3,3,t3pt,228,348,20,20,0,1,0,1
Michael Smith,281,10,4,1,t1pt,208,208,60,T20,1,1,0,0
Michael Smith,282,1,1,1,t1pt,501,501,60,T20,1,0,0,0
Michael Smith,282,2,1,2,t2pt,441,501,60,T20,1,0,1,0
Michael Smith,282,3,1,3,t3pt,381,501,20,20,0,0,0,1
Michael Smith,282,4,2,1,t1pt,361,361,60,T20,1,0,0,0
Michael Smith,282,5,2,2,t2pt,301,361,60,T20,1,0,1,0
Michael Smith,282,6,2,3,t3pt,241,361,15,T5,0,0,0,1
Michael Smith,282,7,3,1,t1pt,226,226,20,20,0,0,0,0
Michael Smith,282,8,3,2,t2pt,206,226,19,19,0,0,1,0
Michael Smith,282,9,3,3,t3pt,187,226,3,3,0,0,0,1
Michael Smith,282,10,4,1,t1pt,184,184,20,20,0,0,0,0
Michael Smith,283,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,283,2,1,2,t2pt,481,501,19,19,0,1,1,0
Michael Smith,283,3,1,3,t3pt,462,501,18,18,0,1,0,1
Michael Smith,283,4,2,1,t1pt,444,444,60,T20,1,1,0,0
Michael Smith,283,5,2,2,t2pt,384,444,20,20,0,1,1,0
Michael Smith,283,6,2,3,t3pt,364,444,60,T20,1,1,0,1
Michael Smith,283,7,3,1,t1pt,304,304,60,T20,1,1,0,0
Michael Smith,283,8,3,2,t2pt,244,304,60,T20,1,1,1,0
Michael Smith,283,9,3,3,t3pt,184,304,60,T20,1,1,0,1
Michael Smith,284,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,284,2,1,2,t2pt,481,501,57,T19,1,1,1,0
Michael Smith,284,3,1,3,t3pt,424,501,57,T19,1,1,0,1
Michael Smith,284,4,2,1,t1pt,367,367,60,T20,1,1,0,0
Michael Smith,284,5,2,2,t2pt,307,367,20,20,0,1,1,0
Michael Smith,284,6,2,3,t3pt,287,367,60,T20,1,1,0,1
Michael Smith,284,7,3,1,t1pt,227,227,20,20,0,1,0,0
Michael Smith,284,8,3,2,t2pt,207,227,20,20,0,1,1,0
Michael Smith,284,9,3,3,t3pt,187,227,17,17,0,1,0,1
Michael Smith,285,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,285,2,1,2,t2pt,481,501,57,T19,1,1,1,0
Michael Smith,285,3,1,3,t3pt,424,501,57,T19,1,1,0,1
Michael Smith,285,4,2,1,t1pt,367,367,20,20,0,1,0,0
Michael Smith,285,5,2,2,t2pt,347,367,57,T19,1,1,1,0
Michael Smith,285,6,2,3,t3pt,290,367,19,19,0,1,0,1
Michael Smith,285,7,3,1,t1pt,271,271,60,T20,1,1,0,0
Michael Smith,285,8,3,2,t2pt,211,271,20,20,0,1,1,0
Michael Smith,285,9,3,3,t3pt,191,271,20,20,0,1,0,1
Michael Smith,286,1,1,1,t1pt,501,501,5,5,0,1,0,0
Michael Smith,286,2,1,2,t2pt,496,501,60,T20,1,1,1,0
Michael Smith,286,3,1,3,t3pt,436,501,20,20,0,1,0,1
Michael Smith,286,4,2,1,t1pt,416,416,20,20,0,1,0,0
Michael Smith,286,5,2,2,t2pt,396,416,20,20,0,1,1,0
Michael Smith,286,6,2,3,t3pt,376,416,20,20,0,1,0,1
Michael Smith,286,7,3,1,t1pt,356,356,20,20,0,1,0,0
Michael Smith,286,8,3,2,t2pt,336,356,19,19,0,1,1,0
Michael Smith,286,9,3,3,t3pt,317,356,17,17,0,1,0,1
Michael Smith,286,10,4,1,t1pt,300,300,60,T20,1,1,0,0
Michael Smith,286,11,4,2,t2pt,240,300,60,T20,1,1,1,0
Michael Smith,286,12,4,3,t3pt,180,300,20,20,0,1,0,1
Michael Smith,287,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,287,2,1,2,t2pt,481,501,20,20,0,0,1,0
Michael Smith,287,3,1,3,t3pt,461,501,60,T20,1,0,0,1
Michael Smith,287,4,2,1,t1pt,401,401,20,20,0,0,0,0
Michael Smith,287,5,2,2,t2pt,381,401,1,1,0,0,1,0
Michael Smith,287,6,2,3,t3pt,380,401,20,20,0,0,0,1
Michael Smith,287,7,3,1,t1pt,360,360,20,20,0,0,0,0
Michael Smith,287,8,3,2,t2pt,340,360,20,20,0,0,1,0
Michael Smith,287,9,3,3,t3pt,320,360,57,T19,1,0,0,1
Michael Smith,287,10,4,1,t1pt,263,263,60,T20,1,0,0,0
Michael Smith,287,11,4,2,t2pt,203,263,60,T20,1,0,1,0
Michael Smith,288,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,288,2,1,2,t2pt,481,501,57,T19,1,0,1,0
Michael Smith,288,3,1,3,t3pt,424,501,57,T19,1,0,0,1
Michael Smith,288,4,2,1,t1pt,367,367,5,5,0,0,0,0
Michael Smith,288,5,2,2,t2pt,362,367,20,20,0,0,1,0
Michael Smith,288,6,2,3,t3pt,342,367,60,T20,1,0,0,1
Michael Smith,288,7,3,1,t1pt,282,282,20,20,0,0,0,0
Michael Smith,288,8,3,2,t2pt,262,282,60,T20,1,0,1,0
Michael Smith,288,9,3,3,t3pt,202,282,60,T20,1,0,0,1
Michael Smith,289,1,1,1,t1pt,501,501,15,T5,0,1,0,0
Michael Smith,289,2,1,2,t2pt,486,501,60,T20,1,1,1,0
Michael Smith,289,3,1,3,t3pt,426,501,60,T20,1,1,0,1
Michael Smith,289,4,2,1,t1pt,366,366,60,T20,1,1,0,0
Michael Smith,289,5,2,2,t2pt,306,366,0,Bounce out,0,1,1,0
Michael Smith,289,6,2,3,t3pt,306,366,60,T20,1,1,0,1
Michael Smith,289,7,3,1,t1pt,246,246,20,20,0,1,0,0
Michael Smith,289,8,3,2,t2pt,226,246,1,1,0,1,1,0
Michael Smith,289,9,3,3,t3pt,225,246,1,1,0,1,0,1
Michael Smith,289,10,4,1,t1pt,224,224,60,T20,1,1,0,0
Michael Smith,290,1,1,1,t1pt,501,501,15,T5,0,1,0,0
Michael Smith,290,2,1,2,t2pt,486,501,19,19,0,1,1,0
Michael Smith,290,3,1,3,t3pt,467,501,18,18,0,1,0,1
Michael Smith,290,4,2,1,t1pt,449,449,20,20,0,1,0,0
Michael Smith,290,5,2,2,t2pt,429,449,19,19,0,1,1,0
Michael Smith,290,6,2,3,t3pt,410,449,57,T19,1,1,0,1
Michael Smith,290,7,3,1,t1pt,353,353,60,T20,1,1,0,0
Michael Smith,290,8,3,2,t2pt,293,353,60,T20,1,1,1,0
Michael Smith,290,9,3,3,t3pt,233,353,60,T20,1,1,0,1
Michael Smith,291,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,291,2,1,2,t2pt,481,501,57,T19,1,1,1,0
Michael Smith,291,3,1,3,t3pt,424,501,57,T19,1,1,0,1
Michael Smith,291,4,2,1,t1pt,367,367,20,20,0,1,0,0
Michael Smith,291,5,2,2,t2pt,347,367,21,T7,0,1,1,0
Michael Smith,291,6,2,3,t3pt,326,367,19,19,0,1,0,1
Michael Smith,291,7,3,1,t1pt,307,307,60,T20,1,1,0,0
Michael Smith,291,8,3,2,t2pt,247,307,1,1,0,1,1,0
Michael Smith,291,9,3,3,t3pt,246,307,20,20,0,1,0,1
Michael Smith,291,10,4,1,t1pt,226,226,20,20,0,1,0,0
Michael Smith,291,11,4,2,t2pt,206,226,7,7,0,1,1,0
Michael Smith,291,12,4,3,t3pt,199,226,19,19,0,1,0,1
Michael Smith,291,13,5,1,t1pt,180,180,20,20,0,1,0,0
Michael Smith,292,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,292,2,1,2,t2pt,481,501,20,20,0,0,1,0
Michael Smith,292,3,1,3,t3pt,461,501,60,T20,1,0,0,1
